year,month,region,sales_rep,brand,channel,units_sold,revenue_usd,target_usd,achieved_pct
2022,1,South,Carlos Rivera,ZenWater,E-Commerce,746,15196.02,14984.34,101.4
2022,1,South,Carlos Rivera,BoostFuel,Retail,801,10973.7,11319.26,96.9
2022,1,South,Carlos Rivera,BoostFuel,Wholesale,1678,37788.56,36101.51,104.7
2022,1,South,Carlos Rivera,BoostFuel,E-Commerce,1225,24794.0,26109.88,95.0
2022,1,South,Priya Nair,NovaBev,Retail,417,9344.97,9058.81,103.2
2022,1,South,Priya Nair,NovaBev,Wholesale,1508,22846.2,21237.02,107.6
2022,1,South,Priya Nair,NovaBev,E-Commerce,965,19541.25,20826.12,93.8
2022,1,South,Priya Nair,PureLeaf,Retail,1794,42069.3,51215.06,82.1
2022,1,South,Priya Nair,PureLeaf,Wholesale,1426,16370.48,14042.45,116.6
2022,1,South,Priya Nair,PureLeaf,E-Commerce,943,21283.51,25171.29,84.6
2022,1,South,Priya Nair,FrostDrink,Retail,829,8115.91,7680.48,105.7
2022,1,South,Priya Nair,FrostDrink,Wholesale,1361,32582.34,28811.3,113.1
2022,1,South,Priya Nair,FrostDrink,E-Commerce,1195,25477.4,31622.39,80.6
2022,1,South,Priya Nair,ZenWater,Retail,1290,26212.8,23627.08,110.9
2022,1,South,Priya Nair,ZenWater,Wholesale,1173,28081.62,25724.19,109.2
2022,1,South,Priya Nair,ZenWater,E-Commerce,1280,28736.0,29289.32,98.1
2022,1,South,Priya Nair,BoostFuel,Retail,633,14926.14,17196.5,86.8
2022,1,South,Priya Nair,BoostFuel,Wholesale,1612,14540.24,14172.18,102.6
2022,1,South,Priya Nair,BoostFuel,E-Commerce,1575,28350.0,29065.55,97.5
2022,1,East,Tom Zhang,NovaBev,Retail,1259,17663.77,16765.78,105.4
2022,1,East,Tom Zhang,NovaBev,Wholesale,331,3892.56,4224.69,92.1
2022,1,East,Tom Zhang,NovaBev,E-Commerce,671,11252.67,9597.14,117.3
2022,1,East,Tom Zhang,PureLeaf,Retail,1649,29055.38,27357.87,106.2
2022,1,East,Tom Zhang,PureLeaf,Wholesale,264,5858.16,5145.47,113.9
2022,1,East,Tom Zhang,PureLeaf,E-Commerce,687,7261.59,7582.3,95.8
2022,1,East,Tom Zhang,FrostDrink,Retail,1304,9975.6,12212.19,81.7
2022,1,East,Tom Zhang,FrostDrink,Wholesale,1369,22615.88,21421.74,105.6
2022,1,East,Tom Zhang,FrostDrink,E-Commerce,1168,24703.2,22879.21,108.0
2022,1,East,Tom Zhang,ZenWater,Retail,398,7235.64,7175.72,100.8
2022,1,East,Tom Zhang,ZenWater,Wholesale,1041,14927.94,17042.19,87.6
2022,1,East,Tom Zhang,ZenWater,E-Commerce,1579,28532.53,31627.51,90.2
2022,1,East,Tom Zhang,BoostFuel,Retail,324,4228.2,4167.83,101.4
2022,1,East,Tom Zhang,BoostFuel,Wholesale,1964,14121.16,13085.18,107.9
2022,1,East,Tom Zhang,BoostFuel,E-Commerce,1298,18133.06,18473.1,98.2
2022,1,East,Sarah Kim,NovaBev,Retail,770,10972.5,13164.74,83.3
2022,1,East,Sarah Kim,NovaBev,Wholesale,354,4906.44,5860.94,83.7
2022,1,East,Sarah Kim,NovaBev,E-Commerce,1327,9235.92,10259.8,90.0
2022,1,East,Sarah Kim,PureLeaf,Retail,1307,28388.04,35133.0,80.8
2022,1,East,Sarah Kim,PureLeaf,Wholesale,1743,38293.71,35097.12,109.1
2022,1,East,Sarah Kim,PureLeaf,E-Commerce,1194,17468.22,20889.55,83.6
2022,1,East,Sarah Kim,FrostDrink,Retail,320,2652.8,2257.17,117.5
2022,1,East,Sarah Kim,FrostDrink,Wholesale,999,10289.7,11973.39,85.9
2022,1,East,Sarah Kim,FrostDrink,E-Commerce,1131,12101.7,13658.42,88.6
2022,1,East,Sarah Kim,ZenWater,Retail,1696,42247.36,45302.15,93.3
2022,1,East,Sarah Kim,ZenWater,Wholesale,1671,24613.83,22791.4,108.0
2022,1,East,Sarah Kim,ZenWater,E-Commerce,645,15718.65,17002.43,92.4
2022,1,East,Sarah Kim,BoostFuel,Retail,1310,8148.2,7948.1,102.5
2022,1,East,Sarah Kim,BoostFuel,Wholesale,302,5037.36,5294.97,95.1
2022,1,East,Sarah Kim,BoostFuel,E-Commerce,1946,30396.52,26528.62,114.6
2022,1,West,James Okafor,NovaBev,Retail,1240,8184.0,7564.72,108.2
2022,1,West,James Okafor,NovaBev,Wholesale,1418,9018.48,10774.63,83.7
2022,1,West,James Okafor,NovaBev,E-Commerce,1026,7592.4,9157.31,82.9
2022,1,West,James Okafor,PureLeaf,Retail,704,11672.32,10107.02,115.5
2022,1,West,James Okafor,PureLeaf,Wholesale,367,4910.46,5320.33,92.3
2022,1,West,James Okafor,PureLeaf,E-Commerce,1270,14389.1,13731.61,104.8
2022,1,West,James Okafor,FrostDrink,Retail,1571,30351.72,28696.77,105.8
2022,1,West,James Okafor,FrostDrink,Wholesale,1010,7696.2,8528.93,90.2
2022,1,West,James Okafor,FrostDrink,E-Commerce,1136,12859.52,14798.04,86.9
2022,1,West,James Okafor,ZenWater,Retail,348,1806.12,1983.96,91.0
2022,1,West,James Okafor,ZenWater,Wholesale,1353,33716.76,29647.29,113.7
2022,1,West,James Okafor,ZenWater,E-Commerce,636,9616.32,8683.37,110.7
2022,1,West,James Okafor,BoostFuel,Retail,914,20674.68,24844.93,83.2
2022,1,West,James Okafor,BoostFuel,Wholesale,956,10229.2,10487.73,97.5
2022,1,West,James Okafor,BoostFuel,E-Commerce,1312,25019.84,27388.5,91.4
2022,1,West,Meera Patel,NovaBev,Retail,1852,33484.16,28566.32,117.2
2022,1,West,Meera Patel,NovaBev,Wholesale,1873,30136.57,36848.06,81.8
2022,1,West,Meera Patel,NovaBev,E-Commerce,412,9797.36,8854.04,110.7
2022,1,West,Meera Patel,PureLeaf,Retail,436,9936.44,11396.77,87.2
2022,1,West,Meera Patel,PureLeaf,Wholesale,518,5413.1,5910.74,91.6
2022,1,West,Meera Patel,PureLeaf,E-Commerce,1669,19794.34,22268.61,88.9
2022,1,West,Meera Patel,FrostDrink,Retail,1946,20004.88,20913.36,95.7
2022,1,West,Meera Patel,FrostDrink,Wholesale,1932,11630.64,12836.9,90.6
2022,1,West,Meera Patel,FrostDrink,E-Commerce,1898,19985.94,17016.39,117.5
2022,1,West,Meera Patel,ZenWater,Retail,1779,13555.98,16835.43,80.5
2022,1,West,Meera Patel,ZenWater,Wholesale,530,10504.6,11246.98,93.4
2022,1,West,Meera Patel,ZenWater,E-Commerce,1075,17436.5,15601.3,111.8
2022,1,West,Meera Patel,BoostFuel,Retail,1615,37274.2,39817.65,93.6
2022,1,West,Meera Patel,BoostFuel,Wholesale,1909,23633.42,25311.63,93.4
2022,1,West,Meera Patel,BoostFuel,E-Commerce,1080,8154.0,7936.32,102.7
2022,2,North,Alice Sharma,NovaBev,Retail,1830,44725.2,38730.14,115.5
2022,2,North,Alice Sharma,NovaBev,Wholesale,932,8574.4,8144.07,105.3
2022,2,North,Alice Sharma,NovaBev,E-Commerce,410,4948.7,5314.67,93.1
2022,2,North,Alice Sharma,PureLeaf,Retail,1991,26141.83,28710.65,91.1
2022,2,North,Alice Sharma,PureLeaf,Wholesale,516,12136.32,11465.12,105.9
2022,2,North,Alice Sharma,PureLeaf,E-Commerce,532,13044.64,15318.43,85.2
2022,2,North,Alice Sharma,FrostDrink,Retail,1044,5742.0,6572.44,87.4
2022,2,North,Alice Sharma,FrostDrink,Wholesale,880,18172.0,18438.86,98.6
2022,2,North,Alice Sharma,FrostDrink,E-Commerce,1571,35001.88,41102.7,85.2
2022,2,North,Alice Sharma,ZenWater,Retail,746,6102.28,6898.7,88.5
2022,2,North,Alice Sharma,ZenWater,Wholesale,983,22058.52,26325.46,83.8
2022,2,North,Alice Sharma,ZenWater,E-Commerce,655,5888.45,7168.49,82.1
2022,2,North,Alice Sharma,BoostFuel,Retail,916,10167.6,11877.16,85.6
2022,2,North,Alice Sharma,BoostFuel,Wholesale,666,6300.36,7018.68,89.8
2022,2,North,Alice Sharma,BoostFuel,E-Commerce,1016,11755.12,14056.08,83.6
2022,2,North,Raj Mehta,NovaBev,Retail,1783,18864.14,20874.92,90.4
2022,2,North,Raj Mehta,NovaBev,Wholesale,1018,18924.62,22472.31,84.2
2022,2,North,Raj Mehta,NovaBev,E-Commerce,878,20878.84,18710.29,111.6
2022,2,North,Raj Mehta,PureLeaf,Retail,734,6290.38,7768.71,81.0
2022,2,North,Raj Mehta,PureLeaf,Wholesale,743,4287.11,4667.07,91.9
2022,2,North,Raj Mehta,PureLeaf,E-Commerce,907,17749.99,17314.6,102.5
2022,2,North,Raj Mehta,FrostDrink,Retail,1441,35563.88,31874.42,111.6
2022,2,North,Raj Mehta,FrostDrink,Wholesale,1380,12144.0,10538.01,115.2
2022,2,North,Raj Mehta,FrostDrink,E-Commerce,1093,5497.79,6708.57,82.0
2022,2,North,Raj Mehta,ZenWater,Retail,1302,24399.48,29916.33,81.6
2022,2,North,Raj Mehta,ZenWater,Wholesale,1709,31462.69,31327.04,100.4
2022,2,North,Raj Mehta,ZenWater,E-Commerce,343,8225.14,10020.76,82.1
2022,2,North,Raj Mehta,BoostFuel,Retail,1476,16649.28,19799.43,84.1
2022,2,North,Raj Mehta,BoostFuel,Wholesale,1674,38502.0,40536.79,95.0
2022,2,North,Raj Mehta,BoostFuel,E-Commerce,1565,20611.05,20836.95,98.9
2022,2,South,Carlos Rivera,NovaBev,Retail,805,12952.45,12003.5,107.9
2022,2,South,Carlos Rivera,NovaBev,Wholesale,1561,37167.41,41661.96,89.2
2022,2,South,Carlos Rivera,NovaBev,E-Commerce,556,9624.36,9339.29,103.1
2022,2,South,Carlos Rivera,PureLeaf,Retail,1322,28647.74,27832.71,102.9
2022,2,South,Carlos Rivera,PureLeaf,Wholesale,630,8568.0,9270.52,92.4
2022,2,South,Carlos Rivera,PureLeaf,E-Commerce,1540,17617.6,18088.24,97.4
2022,2,South,Carlos Rivera,FrostDrink,Retail,1583,14674.41,15250.74,96.2
2022,2,South,Carlos Rivera,FrostDrink,Wholesale,1830,36087.6,40185.0,89.8
2022,2,South,Carlos Rivera,FrostDrink,E-Commerce,781,11957.11,13190.8,90.6
2022,2,South,Carlos Rivera,ZenWater,Retail,886,6086.82,7491.66,81.2
2022,2,South,Carlos Rivera,ZenWater,Wholesale,681,12571.26,11815.18,106.4
2022,2,South,Carlos Rivera,ZenWater,E-Commerce,607,4825.65,4191.01,115.1
2022,2,South,Carlos Rivera,BoostFuel,Retail,1173,20210.79,23391.88,86.4
2022,2,South,Carlos Rivera,BoostFuel,Wholesale,1132,15044.28,16577.38,90.8
2022,2,South,Carlos Rivera,BoostFuel,E-Commerce,598,11583.26,11624.86,99.6
2022,2,South,Priya Nair,NovaBev,Retail,1018,10057.84,11188.57,89.9
2022,2,South,Priya Nair,NovaBev,Wholesale,211,4821.35,5757.54,83.7
2022,2,South,Priya Nair,NovaBev,E-Commerce,418,8598.26,8061.18,106.7
2022,2,South,Priya Nair,PureLeaf,Retail,1846,44599.36,47149.69,94.6
2022,2,South,Priya Nair,PureLeaf,Wholesale,302,4877.3,5935.62,82.2
2022,2,South,Priya Nair,PureLeaf,E-Commerce,448,6330.24,7409.97,85.4
2022,2,South,Priya Nair,FrostDrink,Retail,1567,24476.54,26277.28,93.1
2022,2,South,Priya Nair,FrostDrink,Wholesale,849,20376.0,24585.08,82.9
2022,2,South,Priya Nair,FrostDrink,E-Commerce,1454,30970.2,37375.09,82.9
2022,2,South,Priya Nair,ZenWater,Retail,1073,23187.53,24790.92,93.5
2022,2,South,Priya Nair,ZenWater,Wholesale,525,10431.75,10847.66,96.2
2022,2,South,Priya Nair,ZenWater,E-Commerce,730,14629.2,17349.43,84.3
2022,2,South,Priya Nair,BoostFuel,Retail,767,15585.44,16497.5,94.5
2022,2,South,Priya Nair,BoostFuel,Wholesale,1483,14503.74,14880.1,97.5
2022,2,South,Priya Nair,BoostFuel,E-Commerce,1661,17789.31,17054.36,104.3
2022,2,East,Tom Zhang,NovaBev,Retail,854,19522.44,17223.3,113.3
2022,2,East,Tom Zhang,NovaBev,Wholesale,508,4892.04,5516.17,88.7
2022,2,East,Tom Zhang,NovaBev,E-Commerce,1646,15274.88,15518.47,98.4
2022,2,East,Tom Zhang,PureLeaf,Retail,877,13900.45,14127.16,98.4
2022,2,East,Tom Zhang,PureLeaf,Wholesale,623,13494.18,13572.32,99.4
2022,2,East,Tom Zhang,PureLeaf,E-Commerce,1776,29623.68,33421.71,88.6
2022,2,East,Tom Zhang,FrostDrink,Retail,1954,44179.94,47726.53,92.6
2022,2,East,Tom Zhang,FrostDrink,Wholesale,1176,6021.12,5965.14,100.9
2022,2,East,Tom Zhang,FrostDrink,E-Commerce,1743,22310.4,26920.99,82.9
2022,2,East,Tom Zhang,ZenWater,Retail,1911,25569.18,29379.15,87.0
2022,2,East,Tom Zhang,ZenWater,Wholesale,1318,27678.0,33466.15,82.7
2022,2,East,Tom Zhang,ZenWater,E-Commerce,1199,11258.61,11532.58,97.6
2022,2,East,Tom Zhang,BoostFuel,Retail,259,3310.02,3699.11,89.5
2022,2,East,Tom Zhang,BoostFuel,Wholesale,1834,24007.06,21990.9,109.2
2022,2,East,Tom Zhang,BoostFuel,E-Commerce,1157,27062.23,33619.1,80.5
2022,2,East,Sarah Kim,NovaBev,Retail,1293,7163.22,7217.72,99.2
2022,2,East,Sarah Kim,NovaBev,Wholesale,1355,24742.3,21861.78,113.2
2022,2,East,Sarah Kim,NovaBev,E-Commerce,1077,8303.67,8591.64,96.6
2022,2,East,Sarah Kim,PureLeaf,Retail,302,3080.4,3021.69,101.9
2022,2,East,Sarah Kim,PureLeaf,Wholesale,1131,13051.74,15068.13,86.6
2022,2,East,Sarah Kim,PureLeaf,E-Commerce,976,10316.32,12694.04,81.3
2022,2,East,Sarah Kim,FrostDrink,Retail,1063,10683.15,9430.68,113.3
2022,2,East,Sarah Kim,FrostDrink,Wholesale,239,4775.22,4158.43,114.8
2022,2,East,Sarah Kim,FrostDrink,E-Commerce,916,8683.68,7619.47,114.0
2022,2,East,Sarah Kim,ZenWater,Retail,1534,8912.54,7686.28,116.0
2022,2,East,Sarah Kim,ZenWater,Wholesale,706,6346.94,5446.64,116.5
2022,2,East,Sarah Kim,ZenWater,E-Commerce,512,5002.24,5199.45,96.2
2022,2,East,Sarah Kim,BoostFuel,Retail,434,7065.52,6621.71,106.7
2022,2,East,Sarah Kim,BoostFuel,Wholesale,1632,16515.84,16475.51,100.2
2022,2,East,Sarah Kim,BoostFuel,E-Commerce,1440,24681.6,28363.36,87.0
2022,2,West,James Okafor,NovaBev,Retail,434,8923.04,8169.1,109.2
2022,2,West,James Okafor,NovaBev,Wholesale,837,5992.92,5155.54,116.2
2022,2,West,James Okafor,NovaBev,E-Commerce,838,13843.76,16795.39,82.4
2022,2,West,James Okafor,PureLeaf,Retail,968,12516.24,14218.52,88.0
2022,2,West,James Okafor,PureLeaf,Wholesale,355,5978.2,7067.6,84.6
2022,2,West,James Okafor,PureLeaf,E-Commerce,697,4906.88,5687.04,86.3
2022,2,West,James Okafor,FrostDrink,Retail,1941,36277.29,42524.65,85.3
2022,2,West,James Okafor,FrostDrink,Wholesale,1830,45164.4,52528.64,86.0
2022,2,West,James Okafor,FrostDrink,E-Commerce,911,14257.15,15891.14,89.7
2022,2,West,James Okafor,ZenWater,Retail,341,5155.92,5086.28,101.4
2022,2,West,James Okafor,ZenWater,Wholesale,1939,25982.6,27179.9,95.6
2022,2,West,James Okafor,ZenWater,E-Commerce,1087,26327.14,29071.32,90.6
2022,2,West,James Okafor,BoostFuel,Retail,1897,26918.43,24527.98,109.7
2022,2,West,James Okafor,BoostFuel,Wholesale,560,11020.8,13623.8,80.9
2022,2,West,James Okafor,BoostFuel,E-Commerce,753,13041.96,15883.11,82.1
2022,2,West,Meera Patel,NovaBev,Retail,1786,26200.62,26835.46,97.6
2022,2,West,Meera Patel,NovaBev,Wholesale,1697,28594.45,27991.73,102.2
2022,2,West,Meera Patel,NovaBev,E-Commerce,702,15170.22,13420.57,113.0
2022,2,West,Meera Patel,PureLeaf,Retail,1123,11095.24,11493.37,96.5
2022,2,West,Meera Patel,PureLeaf,Wholesale,1449,26603.64,26192.84,101.6
2022,2,West,Meera Patel,PureLeaf,E-Commerce,1212,26688.24,24626.2,108.4
2022,2,West,Meera Patel,FrostDrink,Retail,634,7671.4,7313.46,104.9
2022,2,West,Meera Patel,FrostDrink,Wholesale,772,17454.92,19732.32,88.5
2022,2,West,Meera Patel,FrostDrink,E-Commerce,765,12331.8,13030.41,94.6
2022,2,West,Meera Patel,ZenWater,Retail,591,3965.61,4512.98,87.9
2022,2,West,Meera Patel,ZenWater,Wholesale,1200,19320.0,18279.22,105.7
2022,2,West,Meera Patel,ZenWater,E-Commerce,1175,21056.0,22031.49,95.6
2022,2,West,Meera Patel,BoostFuel,Retail,1823,9734.82,9420.33,103.3
2022,2,West,Meera Patel,BoostFuel,Wholesale,1028,19367.52,18834.57,102.8
2022,2,West,Meera Patel,BoostFuel,E-Commerce,1391,17220.58,18449.94,93.3
2022,3,North,Alice Sharma,NovaBev,Retail,904,12213.04,14025.14,87.1
2022,3,North,Alice Sharma,NovaBev,Wholesale,877,10559.08,10891.67,96.9
2022,3,North,Alice Sharma,NovaBev,E-Commerce,827,8294.81,7450.92,111.3
2022,3,North,Alice Sharma,PureLeaf,Retail,594,6718.14,7706.73,87.2
2022,3,North,Alice Sharma,PureLeaf,Wholesale,1760,33088.0,30659.88,107.9
2022,3,North,Alice Sharma,PureLeaf,E-Commerce,1712,25132.16,28646.49,87.7
2022,3,North,Alice Sharma,FrostDrink,Retail,1756,27200.44,26199.45,103.8
2022,3,North,Alice Sharma,FrostDrink,Wholesale,405,8768.25,8492.04,103.3
2022,3,North,Alice Sharma,FrostDrink,E-Commerce,939,8066.01,6901.76,116.9
2022,3,North,Alice Sharma,ZenWater,Retail,1293,9736.29,8453.11,115.2
2022,3,North,Alice Sharma,ZenWater,Wholesale,311,4997.77,5642.32,88.6
2022,3,North,Alice Sharma,ZenWater,E-Commerce,458,8134.08,9363.28,86.9
2022,3,North,Alice Sharma,BoostFuel,Retail,410,9204.5,9937.41,92.6
2022,3,North,Alice Sharma,BoostFuel,Wholesale,1161,16915.77,16683.73,101.4
2022,3,North,Alice Sharma,BoostFuel,E-Commerce,305,3065.25,3662.02,83.7
2022,3,North,Raj Mehta,NovaBev,Retail,433,9283.52,9378.98,99.0
2022,3,North,Raj Mehta,NovaBev,Wholesale,351,5805.54,6528.8,88.9
2022,3,North,Raj Mehta,NovaBev,E-Commerce,510,4069.8,4375.59,93.0
2022,3,North,Raj Mehta,PureLeaf,Retail,822,5507.4,5228.04,105.3
2022,3,North,Raj Mehta,PureLeaf,Wholesale,1342,27229.18,29748.62,91.5
2022,3,North,Raj Mehta,PureLeaf,E-Commerce,1819,31596.03,36660.16,86.2
2022,3,North,Raj Mehta,FrostDrink,Retail,979,13715.79,14087.33,97.4
2022,3,North,Raj Mehta,FrostDrink,Wholesale,1961,32885.97,33594.07,97.9
2022,3,North,Raj Mehta,FrostDrink,E-Commerce,1364,23760.88,25990.89,91.4
2022,3,North,Raj Mehta,ZenWater,Retail,1715,11970.7,13827.29,86.6
2022,3,North,Raj Mehta,ZenWater,Wholesale,1481,13654.82,15213.81,89.8
2022,3,North,Raj Mehta,ZenWater,E-Commerce,521,5105.8,5467.27,93.4
2022,3,North,Raj Mehta,BoostFuel,Retail,520,2626.0,2705.31,97.1
2022,3,North,Raj Mehta,BoostFuel,Wholesale,1416,20390.4,17598.06,115.9
2022,3,North,Raj Mehta,BoostFuel,E-Commerce,790,15120.6,17104.35,88.4
2022,3,South,Carlos Rivera,NovaBev,Retail,1129,7248.18,6837.71,106.0
2022,3,South,Carlos Rivera,NovaBev,Wholesale,741,15383.16,16921.83,90.9
2022,3,South,Carlos Rivera,NovaBev,E-Commerce,1554,32758.32,30436.66,107.6
2022,3,South,Carlos Rivera,PureLeaf,Retail,435,6912.15,7665.95,90.2
2022,3,South,Carlos Rivera,PureLeaf,Wholesale,744,16018.32,14073.12,113.8
2022,3,South,Carlos Rivera,PureLeaf,E-Commerce,539,11238.15,12227.31,91.9
2022,3,South,Carlos Rivera,FrostDrink,Retail,1888,30925.44,29856.79,103.6
2022,3,South,Carlos Rivera,FrostDrink,Wholesale,454,6523.98,6338.94,102.9
2022,3,South,Carlos Rivera,FrostDrink,E-Commerce,1024,24422.4,25648.13,95.2
2022,3,South,Carlos Rivera,ZenWater,Retail,1211,16663.36,18149.98,91.8
2022,3,South,Carlos Rivera,ZenWater,Wholesale,1084,21343.96,23296.62,91.6
2022,3,South,Carlos Rivera,ZenWater,E-Commerce,252,1721.16,2125.23,81.0
2022,3,South,Carlos Rivera,BoostFuel,Retail,1912,42465.52,46068.68,92.2
2022,3,South,Carlos Rivera,BoostFuel,Wholesale,242,6047.58,6766.71,89.4
2022,3,South,Carlos Rivera,BoostFuel,E-Commerce,751,12406.52,14332.55,86.6
2022,3,South,Priya Nair,NovaBev,Retail,558,8040.78,8930.12,90.0
2022,3,South,Priya Nair,NovaBev,Wholesale,769,6636.47,7194.81,92.2
2022,3,South,Priya Nair,NovaBev,E-Commerce,1500,31920.0,39504.9,80.8
2022,3,South,Priya Nair,PureLeaf,Retail,1162,13897.52,13665.76,101.7
2022,3,South,Priya Nair,PureLeaf,Wholesale,1572,11145.48,10190.65,109.4
2022,3,South,Priya Nair,PureLeaf,E-Commerce,1043,19681.41,18998.21,103.6
2022,3,South,Priya Nair,FrostDrink,Retail,1020,21695.4,23214.92,93.5
2022,3,South,Priya Nair,FrostDrink,Wholesale,1131,7645.56,7270.62,105.2
2022,3,South,Priya Nair,FrostDrink,E-Commerce,437,10662.8,10787.24,98.8
2022,3,South,Priya Nair,ZenWater,Retail,1253,26939.5,22910.98,117.6
2022,3,South,Priya Nair,ZenWater,Wholesale,1980,31383.0,31863.13,98.5
2022,3,South,Priya Nair,ZenWater,E-Commerce,584,8976.08,9865.19,91.0
2022,3,South,Priya Nair,BoostFuel,Retail,1220,21362.2,24651.9,86.7
2022,3,South,Priya Nair,BoostFuel,Wholesale,616,6369.44,5747.82,110.8
2022,3,South,Priya Nair,BoostFuel,E-Commerce,789,10856.64,12260.4,88.6
2022,3,East,Tom Zhang,NovaBev,Retail,448,2499.84,2754.85,90.7
2022,3,East,Tom Zhang,NovaBev,Wholesale,1836,17974.44,16416.98,109.5
2022,3,East,Tom Zhang,NovaBev,E-Commerce,1328,6998.56,7090.91,98.7
2022,3,East,Tom Zhang,PureLeaf,Retail,660,16401.0,19930.04,82.3
2022,3,East,Tom Zhang,PureLeaf,Wholesale,1145,27411.3,30401.43,90.2
2022,3,East,Tom Zhang,PureLeaf,E-Commerce,515,7709.55,8762.99,88.0
2022,3,East,Tom Zhang,FrostDrink,Retail,1242,23734.62,24119.03,98.4
2022,3,East,Tom Zhang,FrostDrink,Wholesale,1188,29224.8,27690.27,105.5
2022,3,East,Tom Zhang,FrostDrink,E-Commerce,1328,10477.92,9705.11,108.0
2022,3,East,Tom Zhang,ZenWater,Retail,1427,21633.32,25997.42,83.2
2022,3,East,Tom Zhang,ZenWater,Wholesale,1969,12601.6,14606.14,86.3
2022,3,East,Tom Zhang,ZenWater,E-Commerce,1949,25921.7,31720.37,81.7
2022,3,East,Tom Zhang,BoostFuel,Retail,1239,12811.26,10902.72,117.5
2022,3,East,Tom Zhang,BoostFuel,Wholesale,1686,18495.42,20063.37,92.2
2022,3,East,Tom Zhang,BoostFuel,E-Commerce,1551,22939.29,20861.87,110.0
2022,3,East,Sarah Kim,NovaBev,Retail,1303,19141.07,18815.21,101.7
2022,3,East,Sarah Kim,NovaBev,Wholesale,1762,27962.94,28861.61,96.9
2022,3,East,Sarah Kim,NovaBev,E-Commerce,859,19233.01,23893.36,80.5
2022,3,East,Sarah Kim,PureLeaf,Retail,689,11327.16,10686.33,106.0
